"ID","Perspective","Scene","Combo","Awe_S","Time","Selfloss","Connect","Vast","Physiological","Accomodation","Mean_IPQ","SP_IPQ","INV_IPQ","REAL_IPQ"
"6221a58d-3855-41e3-8d7b-427848ad9ea0","FirstPerson","Snow","SF",5.06666666666667,6,5.8,3,6.2,5.8,3.6,3.5,4.4,4,1.75
"6a026f17-86be-46ee-bd3b-f32e3470496c","FirstPerson","Snow","SF",5.2,5.4,5.2,4.6,6.8,4.4,4.8,3.64285714285714,4,3.75,2.75
"774a1777-ac4c-43db-a887-ea94a050d72a","FirstPerson","Snow","SF",3,5,1.4,1.6,4.4,3,2.6,3.35714285714286,3.8,4.25,1.5
"c28131ac-4b92-4378-9a39-ca3afa60e88e","FirstPerson","Snow","SF",3.53333333333333,4.2,3,2,5.2,4.2,2.6,3.07142857142857,3.2,3.75,2
"1b88f896-6b43-414a-9f17-27bd898639e3","FirstPerson","Snow","SF",4.13333333333333,1.8,6.4,2.8,6.4,4.4,3,3.64285714285714,3.6,4.25,2.75
"066ff76a-1a5b-4ead-ad87-0e9529221e00","FirstPerson","Snow","SF",2.36666666666667,1.4,3.2,1.2,4,1,3.4,2.42857142857143,2.6,3.25,1.25
"0f3d3f5f-f866-48c9-94c3-caeb69d76bdb","FirstPerson","Snow","SF",3.93333333333333,3,4.4,4.6,7,2,2.6,2.78571428571429,4,1.75,1.75
"c889fb74-81a5-4616-9c58-65cc7118ba8e","FirstPerson","Snow","SF",3.7,4.2,3.6,2.6,5,3.6,3.2,2.71428571428571,3.2,3.5,1.25
"04142460-40ea-48e8-b2f0-324b158bcf23","FirstPerson","Snow","SF",3.13333333333333,1,2.2,2.2,7,3.6,2.8,3.92857142857143,4.4,4.25,2.5
"0fd28bcf-dc08-4001-b836-d666fd305488","FirstPerson","Snow","SF",4.53333333333333,4,5.2,5,6.4,2.6,4,2.28571428571429,2.6,2.5,1.25
"d6aeec7a-e7af-4530-ad6d-c5322a164b5d","FirstPerson","Snow","SF",4.46666666666667,5.4,3.8,5.4,4.4,4,3.8,2.64285714285714,3,3,2.25
"b8c1538b-cf68-4c12-855e-8091b7548baf","FirstPerson","Snow","SF",3.8,3.2,4.8,3.8,5.4,2,3.6,3.28571428571429,3.6,3.5,2.5
"be698ec0-1390-410f-9cd5-068f8b3d297f","FirstPerson","Snow","SF",5,5.4,5.2,2,6.6,4.8,6,3,2.6,4,2.25
"799eb8e9-6022-4db9-bcd7-5e1f9cd10e17","FirstPerson","Snow","SF",3.93333333333333,5,2.8,3.4,2.6,4,5.8,3.57142857142857,3.2,4.25,3
"1db4c4e1-9290-4079-aa22-b399b529fc1e","FirstPerson","Snow","SF",3.56666666666667,5,1.4,3.6,5.4,3.4,2.6,2.92857142857143,3.8,3.25,1
"460d1458-f30b-4fb1-be29-ea0c85d19901","FirstPerson","Snow","SF",3.76666666666667,4.2,5,2.4,6.8,2,2.2,2.85714285714286,3,3.5,2.25
"128306fb-b03e-473e-9637-55f3c42f5f45","FirstPerson","Snow","SF",1.83333333333333,3,3,1.6,1.4,1,1,3.5,4.4,3,2.25
"77a94b64-694c-4a5f-aaf9-6d829c5717d4","FirstPerson","Snow","SF",4.7,3.4,5.4,4.6,6.6,3.2,5,3.07142857142857,3,4,2
"cb71a925-62ca-46c0-b5e4-7d1a9628b583","FirstPerson","Snow","SF",4.9,5,5.2,5,5.6,4.8,3.8,3.28571428571429,3.2,3.25,3
"c92ccda1-fc43-47d9-aca6-7373290dd7eb","FirstPerson","Snow","SF",4.4,5,5.2,2,6,4,4.2,3.42857142857143,3.8,4,2
"efc7982f-0be5-4df4-afa1-8fde49360df9","FirstPerson","Snow","SF",2.5,5.2,5.2,1.4,1,1.2,1,2.57142857142857,3,2.5,2.25
"9bda0f8c-ae60-4ec0-bcf5-d866a221c262","FirstPerson","Snow","SF",2.4,1.6,2,2,2.6,2.2,4,2.92857142857143,2.6,3.75,2.25
"f5720393-fe29-4b78-9aa6-f4b34347f245","FirstPerson","Snow","SF",4.4,5,4.4,4.8,5.2,3.8,3.2,3.35714285714286,3.2,4.5,2.25
"d40ca25a-36cc-429f-a5c8-b8d3037e7b86","FirstPerson","Snow","SF",1.16666666666667,1.6,1,1,1.4,1,1,3.07142857142857,3.8,3.5,1.75
"5003cf05-8fe7-477f-8b76-eeeebf956089","FirstPerson","Snow","SF",1.86666666666667,2.8,1,1.4,2.6,1.8,1.6,2.85714285714286,3.4,2.75,2
"4ae6dbe7-28e2-43da-a10c-ba004ead64d8","FirstPerson","Snow","SF",5.43333333333333,6.4,6.2,3.2,6.8,5.2,4.8,3.07142857142857,2.6,4.25,2.75
"79c5fa5f-0568-4624-85bf-fc58ead134a9","FirstPerson","Snow","SF",3.83333333333333,4.4,4.2,2.2,5.2,2.8,4.2,2.71428571428571,2.8,3,1.75
"2d09aabe-8cf0-48c6-9fbd-0e7458c56f35","FirstPerson","Snow","SF",5.26666666666667,5.6,5.8,5.2,6.8,5.4,2.8,3.85714285714286,3.2,4.5,3.75
"02e25dd4-2c72-49a7-9639-53b9536b3f90","FirstPerson","Snow","SF",4.33333333333333,4.8,5,4.4,6,2.6,3.2,3.5,4,3.25,2.75
"aa51615a-ca8d-4118-aeec-374d966b9e63","FirstPerson","Snow","SF",4,5,6,3,3.4,3.6,3,3.57142857142857,4,4,2.25
"1ab1aa66-68c5-4ed1-b9a6-f58350b785a0","FirstPerson","Snow","SF",2.6,5.2,5,1,1,1,2.4,3.92857142857143,4.4,4.5,2.5
"f243f939-3aaa-425a-a5ab-53087498f3a0","FirstPerson","Snow","SF",3.46666666666667,3,2,4.2,4.4,2.6,4.6,4,4.2,4,3.5
"2d86c33a-7cc7-4e74-9130-b20061b61404","FirstPerson","Snow","SF",5.2,5,5.4,4.8,6.2,3.6,6.2,3.64285714285714,4.6,4.25,1.5
"b4415a6e-ecc4-4c40-810a-4213df4adfef","FirstPerson","Snow","SF",3.9,4,5,1.8,5.8,1,5.8,3.35714285714286,4,3.75,1.75
"979472db-ef22-45fc-80d9-2a252b4e842d","FirstPerson","Snow","SF",1.13333333333333,1,1,1,1.8,1,1,2.85714285714286,3,3.25,1.75
"c85f0c68-0f29-4344-9004-613cca1083b1","FirstPerson","Snow","SF",2.46666666666667,1,1,3.8,5.2,1.8,2,3.71428571428571,5,4,1.5
"9216f4e5-37c0-4ee3-a53d-23a9a48daf3e","FirstPerson","Snow","SF",5.36666666666667,3.2,2.8,6.4,7,7,5.8,3.78571428571429,3.2,4.5,3.25
"dfaac9cc-d2ed-4ba0-a0ec-ff99ac89c896","FirstPerson","Snow","SF",4.03333333333333,3.4,3.6,4,6.4,3.4,3.4,3.5,3.6,3.75,2.75
"676983de-2b32-4cc7-a708-bdbd4c7a1410","FirstPerson","Snow","SF",2.83333333333333,4.2,1.8,4.4,4.4,1.2,1,3.5,4.6,2.25,2.75
"b499215a-869a-459a-a92d-feed685609dd","FirstPerson","Snow","SF",4.83333333333333,4.8,4.8,5.6,5,4.6,4.2,3.28571428571429,3.4,3.75,2.5
"436662a6-b129-4dd0-b394-71cb8d6c7741","FirstPerson","Snow","SF",2.83333333333333,2,4.6,1.8,4.2,1.6,2.8,3.92857142857143,3.6,4.5,3.5
"d40ca25a-36cc-429f-a5c8-b8d3037e7b86","ThirdPerson","Snow","ST",1.53333333333333,4,1,1,1.2,1,1,1.78571428571429,1.4,2,2.5
"b4415a6e-ecc4-4c40-810a-4213df4adfef","ThirdPerson","Snow","ST",3.96666666666667,3,5.6,2.4,6,1.8,5,3,3.4,4.25,0.75
"4ae6dbe7-28e2-43da-a10c-ba004ead64d8","ThirdPerson","Snow","ST",4.7,5.4,5.2,3,5.4,4.4,4.8,3.35714285714286,3.6,4.25,1.75
"c85f0c68-0f29-4344-9004-613cca1083b1","ThirdPerson","Snow","ST",2.6,2.2,3,1,6,1.2,2.2,3.42857142857143,3.6,4,2
"2d09aabe-8cf0-48c6-9fbd-0e7458c56f35","ThirdPerson","Snow","ST",3.7,4.4,2.6,1.8,6.2,5,2.2,3.5,3.6,4,2.5
"02e25dd4-2c72-49a7-9639-53b9536b3f90","ThirdPerson","Snow","ST",4.2,5,4.6,4,5.6,2.8,3.2,3.14285714285714,3.6,3.25,2.25
"dfaac9cc-d2ed-4ba0-a0ec-ff99ac89c896","ThirdPerson","Snow","ST",3.96666666666667,5.2,4.2,2,5.8,3.4,3.2,3.71428571428571,4.2,3.75,2.75
"1ab1aa66-68c5-4ed1-b9a6-f58350b785a0","ThirdPerson","Snow","ST",2.83333333333333,2.8,5.2,3.2,2.6,1,2.2,3,3.6,4,1
"b499215a-869a-459a-a92d-feed685609dd","ThirdPerson","Snow","ST",3.96666666666667,4.2,2.8,4.6,4,4,4.2,2.78571428571429,2.8,3.75,1.5
"2d86c33a-7cc7-4e74-9130-b20061b61404","ThirdPerson","Snow","ST",4.13333333333333,4.2,4.2,3.4,5.6,2.2,5.2,3.21428571428571,3.2,4.25,2.25
"5003cf05-8fe7-477f-8b76-eeeebf956089","ThirdPerson","Snow","ST",1,1,1,1,1,1,1,1.64285714285714,1.2,2.5,1.5
"979472db-ef22-45fc-80d9-2a252b4e842d","ThirdPerson","Snow","ST",1.06666666666667,1,1,1,1.4,1,1,2.14285714285714,2.4,3,1.5
"79c5fa5f-0568-4624-85bf-fc58ead134a9","ThirdPerson","Snow","ST",3.13333333333333,3,4.2,2,4,3,2.6,2.5,2.2,3,2
"9216f4e5-37c0-4ee3-a53d-23a9a48daf3e","ThirdPerson","Snow","ST",5.63333333333333,2.4,6,6,6.4,7,6,4.35714285714286,4.8,4.5,3.25
"aa51615a-ca8d-4118-aeec-374d966b9e63","ThirdPerson","Snow","ST",4.03333333333333,5.2,5.4,3.8,2,4,3.8,3.07142857142857,3.6,3.5,1.75
"676983de-2b32-4cc7-a708-bdbd4c7a1410","ThirdPerson","Snow","ST",2.66666666666667,2.4,2,4,5,1.4,1.2,3.21428571428571,3.4,3.75,2
"f243f939-3aaa-425a-a5ab-53087498f3a0","ThirdPerson","Snow","ST",3.46666666666667,2.2,2.6,4.4,6,2.4,3.2,3.71428571428571,4.2,3.75,2.75
"436662a6-b129-4dd0-b394-71cb8d6c7741","ThirdPerson","Snow","ST",2.63333333333333,2.6,3.4,2,3.4,2.6,1.8,3.21428571428571,3.2,3.5,2.75
"b8c1538b-cf68-4c12-855e-8091b7548baf","ThirdPerson","Snow","ST",3.3,3.8,3.4,4.4,4,1.2,3,3.07142857142857,3.2,3.5,2.25
"6a026f17-86be-46ee-bd3b-f32e3470496c","ThirdPerson","Snow","ST",4.46666666666667,4.2,4.6,3,6,4.8,4.2,3.35714285714286,3,4,3
"799eb8e9-6022-4db9-bcd7-5e1f9cd10e17","ThirdPerson","Snow","ST",4.76666666666667,6,2.8,4.6,5.6,3.6,6,4.14285714285714,4.2,4.5,3.5
"c28131ac-4b92-4378-9a39-ca3afa60e88e","ThirdPerson","Snow","ST",2.53333333333333,4,2.6,2,2.2,2.2,2.2,2.85714285714286,3.2,3.5,2.25
"460d1458-f30b-4fb1-be29-ea0c85d19901","ThirdPerson","Snow","ST",3.23333333333333,2.4,5.2,2.4,4,1.4,4,2.92857142857143,3.4,2.75,2.25
"066ff76a-1a5b-4ead-ad87-0e9529221e00","ThirdPerson","Snow","ST",2.43333333333333,1,3.4,1,4.8,1,3.4,1.5,0.8,2.75,1.5
"77a94b64-694c-4a5f-aaf9-6d829c5717d4","ThirdPerson","Snow","ST",4.16666666666667,2.8,4.6,3.4,5.4,3.2,5.6,2.71428571428571,2.2,4.5,2
"c889fb74-81a5-4616-9c58-65cc7118ba8e","ThirdPerson","Snow","ST",1.73333333333333,2,3.4,1,1.4,1.4,1.2,1.57142857142857,1.6,2,1.5
"c92ccda1-fc43-47d9-aca6-7373290dd7eb","ThirdPerson","Snow","ST",2.73333333333333,2,2,1,5.2,2.2,4,1.57142857142857,0.4,3.5,1.5
"0fd28bcf-dc08-4001-b836-d666fd305488","ThirdPerson","Snow","ST",3,2.2,4.6,1.6,4.8,2,2.8,2.14285714285714,3,2.25,1.25
"9bda0f8c-ae60-4ec0-bcf5-d866a221c262","ThirdPerson","Snow","ST",2.3,5,1.2,2.6,2,1.4,1.6,2.92857142857143,3.2,3.75,1.5
"6221a58d-3855-41e3-8d7b-427848ad9ea0","ThirdPerson","Snow","ST",4.1,3.8,4.8,2.8,6.2,3,4,3.71428571428571,3.6,4.5,2.75
"be698ec0-1390-410f-9cd5-068f8b3d297f","ThirdPerson","Snow","ST",4.63333333333333,5,5,3,4.8,4,6,2.21428571428571,1,3,2
"774a1777-ac4c-43db-a887-ea94a050d72a","ThirdPerson","Snow","ST",3.3,3.6,1.8,2.8,5.2,3.6,2.8,3.14285714285714,3.2,4.25,1.25
"1db4c4e1-9290-4079-aa22-b399b529fc1e","ThirdPerson","Snow","ST",2.16666666666667,3.4,1.2,1.8,2.6,1.4,2.6,1.71428571428571,1.8,2,1.5
"1b88f896-6b43-414a-9f17-27bd898639e3","ThirdPerson","Snow","ST",2.43333333333333,3,2.4,1.2,3.2,2.2,2.6,3.21428571428571,3.4,4,2.25
"128306fb-b03e-473e-9637-55f3c42f5f45","ThirdPerson","Snow","ST",1.8,4,2.8,1,1,1,1,3,3.4,2.75,2
"0f3d3f5f-f866-48c9-94c3-caeb69d76bdb","ThirdPerson","Snow","ST",4.36666666666667,5,4.4,5.8,6.4,1.8,2.8,3,3.4,3,2
"cb71a925-62ca-46c0-b5e4-7d1a9628b583","ThirdPerson","Snow","ST",4.6,5,5,5,5,4,3.6,2.92857142857143,3.4,2.5,2.5
"04142460-40ea-48e8-b2f0-324b158bcf23","ThirdPerson","Snow","ST",1.86666666666667,1,1,1,4.4,1,2.8,3.21428571428571,3.8,3,2.75
"efc7982f-0be5-4df4-afa1-8fde49360df9","ThirdPerson","Snow","ST",2.33333333333333,5.6,4.4,1,1,1,1,2.92857142857143,3,3,2.5
"d6aeec7a-e7af-4530-ad6d-c5322a164b5d","ThirdPerson","Snow","ST",3.66666666666667,4.4,3.8,3.4,3,3.6,3.8,2.71428571428571,2.2,3.25,3.25
"f5720393-fe29-4b78-9aa6-f4b34347f245","ThirdPerson","Snow","ST",3.1,5,1.6,2.8,3.8,1.4,4,3.35714285714286,4,3.5,2
